Real, Imag
0.002,-0.00158193
0.002,-0.00157174
0.002,-0.0015616
0.002,-0.00155151
0.002,-0.00154147
0.002,-0.00153148
0.002,-0.00152153
0.002,-0.00151164
0.002,-0.00150179
0.002,-0.00149198
0.002,-0.00148222
0.00200001,-0.00147252
0.002,-0.00146284
0.002,-0.00145322
0.00199999,-0.00144364
0.002,-0.00143411
0.00200001,-0.00142461
0.002,-0.00141516
0.00199999,-0.00140575
0.002,-0.00139638
0.002,-0.00138706
0.002,-0.00137778
0.002,-0.00136853
0.00200001,-0.00135933
0.002,-0.00135015
0.002,-0.00134103
0.002,-0.00133194
0.002,-0.00132289
0.002,-0.00131387
0.002,-0.0013049
0.00199999,-0.00129596
0.002,-0.00128705
0.002,-0.00127818
0.002,-0.00126935
0.002,-0.00126055
0.002,-0.00125178
0.002,-0.00124306
0.002,-0.00123437
0.002,-0.00122571
0.002,-0.00121708
0.002,-0.00120849
0.002,-0.00119992
0.002,-0.00119139
0.002,-0.0011829
0.002,-0.00117443
0.002,-0.001166
0.002,-0.00115758
0.002,-0.00114921
0.002,-0.00114087
0.002,-0.00113256
0.002,-0.00112427
0.002,-0.00111602
0.002,-0.00110779
0.002,-0.0010996
0.002,-0.00109143
0.002,-0.00108329
0.002,-0.00107518
0.002,-0.00106709
0.002,-0.00105903
0.002,-0.001051
0.002,-0.00104299
0.002,-0.00103501
0.002,-0.00102706
0.002,-0.00101913
0.002,-0.00101123
0.002,-0.00100335
0.002,-0.000995499
0.002,-0.000987667
0.002,-0.000979867
0.002,-0.000972085
0.002,-0.000964327
0.002,-0.000956595
0.002,-0.000948887
0.002,-0.0009412
0.002,-0.000933533
0.00199999,-0.000925889
0.002,-0.000918269
0.002,-0.000910678
0.002,-0.000903105
0.002,-0.000895549
0.002,-0.000888018
0.002,-0.000880501
0.002,-0.000873011
0.002,-0.000865537
0.002,-0.000858089
0.002,-0.000850659
0.002,-0.000843251
0.002,-0.00083586
0.002,-0.00082849
0.002,-0.000821137
0.00200001,-0.000813812
0.002,-0.000806482
0.002,-0.00079919
0.002,-0.000791911
0.002,-0.000784651
0.002,-0.000777416
0.00200001,-0.000770199
0.002,-0.000762981
0.002,-0.000755789
0.002,-0.000748614
0.002,-0.000741462
0.002,-0.000734324
0.002,-0.0007272
0.002,-0.000720096
0.002,-0.000713003
0.002,-0.000705929
0.002,-0.000698872
0.002,-0.00069183
0.002,-0.000684796
0.002,-0.000677787
0.002,-0.000670795
0.002,-0.000663824
0.002,-0.000656842
0.002,-0.000649884
0.002,-0.000642943
0.002,-0.000636019
0.00200002,-0.000629102
0.002,-0.000622206
0.002,-0.000615322
0.002,-0.00060845
0.002,-0.00060159
0.002,-0.000594747
0.002,-0.000587912
0.002,-0.000581092
0.002,-0.000574284
0.002,-0.000567489
0.002,-0.000560708
0.002,-0.000553938
0.002,-0.000547175
0.002,-0.000540428
0.002,-0.00053369
0.002,-0.000526956
0.002,-0.000520247
0.002,-0.000513545
0.002,-0.000506852
0.002,-0.000500169
0.002,-0.000493496
0.002,-0.00048684
0.002,-0.000480188
0.002,-0.000473547
0.002,-0.000466915
0.002,-0.000460297
0.002,-0.000453688
0.002,-0.000447079
0.002,-0.000440489
0.002,-0.000433908
0.002,-0.000427328
0.002,-0.000420764
0.002,-0.000414204
0.002,-0.000407657
0.00199999,-0.000401122
0.002,-0.000394583
0.002,-0.000388064
0.002,-0.000381545
0.002,-0.000375036
0.002,-0.000368542
0.00199999,-0.000362044
0.002,-0.000355554
0.002,-0.000349075
0.002,-0.0003426
0.002,-0.000336139
0.002,-0.000329684
0.002,-0.000323236
0.002,-0.000316789
0.002,-0.000310351
0.002,-0.000303919
0.002,-0.000297491
0.002,-0.000291072
0.002,-0.000284662
0.002,-0.000278254
0.00200001,-0.000271842
0.002,-0.000265458
0.002,-0.000259059
0.002,-0.000252675
0.002,-0.000246294
0.002,-0.000239918
0.002,-0.000233553
0.002,-0.000227178
0.002,-0.000220819
0.002,-0.000214456
0.002,-0.000208104
0.002,-0.000201753
0.002,-0.000195412
0.002,-0.00018907
0.002,-0.00018273
0.002,-0.000176398
0.002,-0.00017006
0.002,-0.000163738
0.002,-0.00015741
0.002,-0.000151088
0.00200001,-0.00014477
0.002,-0.000138457
0.002,-0.000132148
0.002,-0.000125836
0.002,-0.000119531
0.002,-0.000113221
0.002,-0.000106924
0.002,-0.000100624
0.002,-9.43222e-05
0.002,-8.8028e-05
0.002,-8.17356e-05
0.002,-7.54376e-05
0.002,-6.91452e-05
0.002,-6.28586e-05
0.002,-5.65681e-05
0.002,-5.02777e-05
0.002,-4.39911e-05
0.00199999,-3.76968e-05
0.00199999,-3.14255e-05
0.00199998,-2.51389e-05
0.00199997,-1.88599e-05
0.00200003,-1.25732e-05
0.002,-6.28662e-06
